id,conversation_id,message,intent,expected_action,notes
1,72228f336bb61341b9c2a243b495afb5,"Kendiliğinden wifi açma sorununu bi düzeltin nolur, şarj ömrü eksilere indi...",connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
2,5c658c8c6d69c22e38d77f1ed26d4ff2,Sooo. fixes the i problem. But now Bluetooth connectivity is a no go. Get it together 😤 #apple #iPhone #fixit #dammit,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
3,90883d8f97fbf304e607df45059b5998,enfia no cu essa atualização maldita que fica ligando o Wi-Fi sozinho,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
4,6711bb8bcf9619ad1cd575fa921bc59e,"My phone says ""Searching"" in top left corner. Will not let me text or call unless connected to Wifi. Can you help?",connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
5,e1a2430569b405051927b45c172e94c5,"You guys NEED to sort out your bluetooth button on the swipe up screen. Turning it off there should turn it off COMPLETELY, not leave me needing to go to settings to turn it off fully. My phone's been connecting to headphones unasked a lot recently! #SortItOut",connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
6,c916e7501fa82a5331c1384e21d8b383,Why does my Bluetooth turn on whenever my moms car is nearby?! I don’t approve. Fix this shit,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
7,a45fe899ffece3e6e68a0c8d22aa28f8,why does my WiFi not want to stay connected??,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
8,a5d298f06ccfaabe03fd8765473b9db4,iPhone 6 does not automatically change over to 4/3G when I leave WiFi zone. I've to set airplane mode on / off before it works,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
9,2fbe5f6405ceb3ee149b7b169c793728,My #AppleWatchSeries3 has WiFi connectivity so can I use it apart from the phone if on the same WiFi? [LINK],connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
10,82efdc2db79be5a5c22b271dff0dfe8a,2of2 now when using another audio source ie YouTube via Bluetooth the music player starts playing automatically and stops Ytub,connectivity_and_cellular,AUTO,"Network, SIM, or wireless connectivity troubleshooting."
